id	lbl	factor	x	y
A5-S11	p9-M11	11	-2.16200541962848	1.62516737526811
A5-S12	p10-M9	9	-0.300411119754161	1.80143561242043
A5-S13	p11-F6	6	-2.25320787325094	-0.102425631420692
A5-S14	p12-M16	16	-1.82532241154785	1.80143561242043
A5-S15	p13-M16	16	-0.431939134709669	1.80143561242043
A5-S16	p14-M10	10	-1.70629971993497	-0.613696703932621
A5-S17	p15-F74	74	1.36584720080701	-0.527287629554875
A5-S18	p16-M75	75	-1.98901219780344	0.823921128808098
A2-i132	p17-F73	73	2.00260540777155	-1.66424347724599
A2-i131	p18-M71	71	-0.107395740092053	-2.30758935348666
A2-i136	p1-F36	36	-2.25320787325094	-1.66483542116014
A2-i129	p2-F43	43	-2.25320787325094	0.054348779336233
A2-i133	p3-F43	43	-2.25320787325094	0.938111491672418
A2-i134	p4-F39	39	-2.25320787325094	1.80143561242043
A4-i194	p5-F34	34	-2.25320787325094	1.78261687122703
A4-i195	p6-F86	86	-1.06984510839569	-2.30758935348666
A4-i191	p7-F87	87	2.04180369327056	-1.05733224496657
A4-i192	p19-M36	36	0.107326804462196	1.13262152238
A4-i189	p20-M37	37	0.176397635890672	0.22396049504159
A6-I201ob	p21-M43	43	0.224072150315862	0.343758295834116
A3-i110	p22-M39	39	0.260082970218494	0.252536974880441
A4-i101	p23-F43	43	0.925951410090999	1.80143561242043
A3-i101	p24-F89	89	0.61354283121854	-0.846605938197199
A4-i102	p25-M85	85	0.318351487268483	0.292095072436858
A4-i107	p26-M66	66	0.158436269550357	0.172056384572999
A3-i107	p27-M64	64	0.217506642155825	0.255270760334019
A4-i106	p28-M90	90	2.04180369327056	0.911264597501392
A4-i110	p29-F62	62	0.883470299425256	1.44459275704028
A3-i102	p30-M87	87	0.97835325203639	0.91200722529853
A3-i106	p31-M87	87	0.421070724824877	0.340483298760304
A5-S23	p32-M61	61	-0.672519255768623	0.201730444272999
A5-S24	p33-F61	61	-0.544971263283321	0.936554130788998
A5-S20	p34-F61	61	0.387229514487186	0.599539702055933
A5-S21	p35-F61	61	0.174236372991137	0.457982603707189
A5-S22	p36-M25	25	0.438338248569499	-2.30758935348666
A6-I150	p37-F22	22	2.04180369327056	1.48149938685715
A6-I160	p38-F24	24	-2.25320787325094	-1.05317125096213
A6-I215ob	p39-M20	20	-0.114229267171245	0.538122474555474
A5-S19	p40-F21	21	0.293434354817494	1.53864662838317
A4-i184	p55-M103	103	0.23718789851665	0.120294847865909
A4-i185	p48-F89	89	0.352596281632666	-0.0865824876925199
A4-i186	p62-NA0	0	2.04180369327056	0.454631124227133
A4-i188	p63-NA0	0	2.04180369327056	-1.91980831931888
A4-i128	p64-NA0	0	1.20360610310708	-2.30758935348666
A4-i125	p57-F0	0	-0.379181120331407	-0.244687885340493
A4-i124	p58-M0	0	0.131706850496075	-0.0333775918571943
A2-i141	p59-M0	0	2.04180369327056	-0.353155480807813
A2-i140	p60-M0	0	1.9424250308527	-2.30758935348666
A2-i138	p61-F0	0	-2.07232037693889	-2.30758935348666
A2-i139	p56-F55	55	0.38251112682817	1.80143561242043
A4-i122	p46-F100	100	0.346499581711387	0.0173689024503262
A3-i145	p43-F51	51	0.130125886537446	0.00278245198729509
A4-i132	p54-F51	51	1.61602541684075	0.883251610422054
A4-i183	p41-M51	51	0.194147174543987	-0.338391231604429
A3-i150	p53-M50	50	0.140439663827083	0.453101499175168
A6-I214ob	p52-F50	50	-2.144549891914	-2.30758935348666
A4-i118	p49-F98	98	0.137294738918017	-0.108695287339233
A5-S10	p50-F93	93	2.04180369327056	0.665137025403142
A4-i127	p51-F92	92	-0.124125218395827	-0.811168644586072
A5-S9	p47-M92	92	-0.00617614643774483	-1.05321249785215
A6-I211ob	p42-M90	90	0.335538803059663	-0.059361703687739
A5-S7	p72-M51	51	2.04180369327056	1.80143561242043
A5-S8	p70-F51	51	-0.264524591250504	-2.30758935348666
A6-I210ob	p76-M30	30	-2.25320787325094	-1.98738842456642
A5-S4	p74-F99	99	0.607242314954263	-0.315622934963845
A6-I208ob	p75-F95	95	-0.0327387692105227	-0.488186245689702
A6-I207ob	p65-F95	95	0.096617893372548	-0.257742058376004
A6-I205ob	p73-F94	94	1.18013696260123	-0.213323846968878
A6-I206ob	p66-F93	93	-0.178989461597301	0.23332407931769
A5-S3	p67-F92	92	1.78898299748112	-0.246025652569814
A6-I204ob	p68-F91	91	-0.0704251554870132	-0.556734279764537
A5-S2	p69-F88	88	0.539657946611973	-0.37784739394649
A5-S1	p71-F51	51	0.61695767425099	1.80143561242043
